sk_opcao,grupo,grupo_rotulo,opcao,opcao_rotulo,comparavel_entre_anos
a69315ad1fb6d161,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,pipelines_com_codigo,pipelines_com_codigo,False
b4c2a9c79dde0aa4,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,qlik_sense,qlik_sense,False
5c0a18d41c2ed2be,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,quali_dados_dicionario,quali_dados_dicionario,False
20ebd43f031319e4,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,qualidade_dados_tmp_gasto,qualidade_dados_tmp_gasto,False
6727980e83424c0d,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,relatorios_sql_exportados,relatorios_sql_exportados,False
ca89efc8e75512cc,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,sap_bw_etl,sap_bw_etl,False
b2d5848d6357949a,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,sas_data_integration,sas_data_integration,False
c71ac5fe59d598cb,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,script_python,script_python,False
676899aae8d60e1f,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,sql_stored_procedures,sql_stored_procedures,False
9dfc231bf7febff8,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,stitch,stitch,False
0370ec06af6f1343,atividades_engenheiro_dados,Atividades: Engenheiro de Dados,talend,talend,False
026b443e605882ed,bancos_dados,Bancos e plataformas de dados,amazon_athena,Athena,False
ee6934d5ce11d83d,bancos_dados,Bancos e plataformas de dados,amazon_aurora_rds,Aurora / RDS,False
3712ddd5ba43134e,bancos_dados,Bancos e plataformas de dados,amazon_redshift,Redshift,False
e8fa75a27995499c,bancos_dados,Bancos e plataformas de dados,cassandra,Cassandra,False
bcc1e3eb7f764ea8,bancos_dados,Bancos e plataformas de dados,coach_db,coach_db,False
5ee4d156388daa6b,bancos_dados,Bancos e plataformas de dados,databricks,Databricks,False
0105148ae6db31f4,bancos_dados,Bancos e plataformas de dados,datomic,datomic,False
6f09dbeaf6bf1374,bancos_dados,Bancos e plataformas de dados,db2,DB2,False
0906f1e4600d55bf,bancos_dados,Bancos e plataformas de dados,dynamo_db,DynamoDB,False
805866a385fae5f0,bancos_dados,Bancos e plataformas de dados,elastic_search,Elasticsearch,False
cf171e071eb04759,bancos_dados,Bancos e plataformas de dados,firebase,Firebase,False
cb54d21efc6963fd,bancos_dados,Bancos e plataformas de dados,firebird,firebird,False
dacfd376fc6bd870,bancos_dados,Bancos e plataformas de dados,google_big_query,BigQuery,False
efb837aaad2e0ebf,bancos_dados,Bancos e plataformas de dados,google_firestore,Firestore,False
99f25f97f502db5b,bancos_dados,Bancos e plataformas de dados,hbase,HBase,False
d4177be8be554e38,bancos_dados,Bancos e plataformas de dados,hive,Hive,False
905f7305d3d6fb74,bancos_dados,Bancos e plataformas de dados,maria_db,MariaDB,False
1063413f76f3f2c4,bancos_dados,Bancos e plataformas de dados,microsoft_acess,Microsoft Access,False
fd6ddb85a89fae9b,bancos_dados,Bancos e plataformas de dados,mongo_db,MongoDB,False
5c5071de79ace1d9,bancos_dados,Bancos e plataformas de dados,my_sql,MySQL,False
0c7401eb83d95884,bancos_dados,Bancos e plataformas de dados,nao_utilizo_nenhuma,Não utilizo nenhum,False
54d82108c5c23036,bancos_dados,Bancos e plataformas de dados,neo4j,Neo4j,False
f2022936b40956d6,bancos_dados,Bancos e plataformas de dados,oracle,Oracle,False
200879425c262360,bancos_dados,Bancos e plataformas de dados,oracle_1,oracle_1,False
e6a5600268ff9d1a,bancos_dados,Bancos e plataformas de dados,postgre_sql,PostgreSQL,False
e334f876163fe5b1,bancos_dados,Bancos e plataformas de dados,presto,Presto,False
5d740de0f043408a,bancos_dados,Bancos e plataformas de dados,redis,Redis,False
9c0311ae784a3721,bancos_dados,Bancos e plataformas de dados,s3,Amazon S3,False
cd19f2b0e92277aa,bancos_dados,Bancos e plataformas de dados,sap_hana,SAP HANA,False
0df12d7febc7eafe,bancos_dados,Bancos e plataformas de dados,snowflake,Snowflake,False
fc7a69dc100a4d28,bancos_dados,Bancos e plataformas de dados,splunk,Splunk,False
6dec7e51422bf115,bancos_dados,Bancos e plataformas de dados,sql_server,SQL Server,False
421a09f0a0bb9e4a,bancos_dados,Bancos e plataformas de dados,sqlite,SQLite,False
23e2c6bb8b8643de,bancos_dados,Bancos e plataformas de dados,sybase,sybase,False
d0582e644aa39ed1,bancos_dados,Bancos e plataformas de dados,vertica,vertica,False
e26f98ce27a25b25,barreiras_ia_generativa,Barreiras à adoção de IA,alta_direcao_nao_ve_valor_prioridade,alta_direcao_nao_ve_valor_prioridade,True
fb96b1908feb3a10,barreiras_ia_generativa,Barreiras à adoção de IA,falta_compreensao_caso_uso,falta_compreensao_caso_uso,True
c17d481737aac591,barreiras_ia_generativa,Barreiras à adoção de IA,falta_confiab_saida_alucinacao_modelo,falta_confiab_saida_alucinacao_modelo,True
3ca7cc63fae18cc3,barreiras_ia_generativa,Barreiras à adoção de IA,falta_expertise_ou_recurso,falta_expertise_ou_recurso,True
1fd0660626153ab6,barreiras_ia_generativa,Barreiras à adoção de IA,incerteza_rel_regulamentacao,incerteza_rel_regulamentacao,True
c46722550ef2d9ab,barreiras_ia_generativa,Barreiras à adoção de IA,preocupacao_prop_intelectual,preocupacao_prop_intelectual,True
811a91ec81d9be98,barreiras_ia_generativa,Barreiras à adoção de IA,seguranca_privacidade_dados,seguranca_privacidade_dados,True
f9c738d8a0709f1b,cargos_no_time,Cargos presentes no time,analista_bi,analista_bi,True
6e5cd35ac8fcbbad,cargos_no_time,Cargos presentes no time,analista_business,analista_business,True
8da449dce8fa056f,cargos_no_time,Cargos presentes no time,analista_dados,analista_dados,True
7e11367e484d04c0,cargos_no_time,Cargos presentes no time,arquiteto_dados,arquiteto_dados,True
0d8f19c5386f8f96,cargos_no_time,Cargos presentes no time,cientista_dados,cientista_dados,True
77f0035bbf7970fc,cargos_no_time,Cargos presentes no time,data_product_manager,data_product_manager,True
09ab70dc9bedecee,cargos_no_time,Cargos presentes no time,dba,dba,True
a68e4d5888cd10ab,cargos_no_time,Cargos presentes no time,engenheiro_analytics,engenheiro_analytics,True
3e7f0464314d4f3a,cargos_no_time,Cargos presentes no time,engenheiro_dados,engenheiro_dados,True
ff26c3081f81e8e5,cargos_no_time,Cargos presentes no time,engenheiro_ml_ia,engenheiro_ml_ia,True
3fb7265fde8eb1fa,cloud_preferida,Cloud preferida,AMT,AMT,True
c7c098f343f286f2,cloud_preferida,Cloud preferida,Amazon_Web_Services_(AWS),Amazon_Web_Services_(AWS),True
8d0b6c203891006c,cloud_preferida,Cloud preferida,Azure,Azure,True
5917064a408affcd,cloud_preferida,Cloud preferida,Azure_(Microsoft),Azure_(Microsoft),True
ff9ca54d41ab220d,cloud_preferida,Cloud preferida,Cloud_Propria,Cloud_Propria,True
